MOI,Time,Infected Cells,Replicate
0.015,0,0.37,1
0.015,4,1.6,1
0.015,24,1.58,1
0.015,48,0.98,1
0.015,72,2.66,1
0.015,96,9.3,1
0.015,0,0.3,2
0.015,4,0.19,2
0.015,24,0.92,2
0.015,48,1.9,2
0.015,72,5.93,2
0.015,96,11.3,2
0.06,0,0.95,1
0.06,4,1.72,1
0.06,24,1.81,1
0.06,48,3.09,1
0.06,72,10.4,1
0.06,96,20.7,1
0.06,0,0.49,2
0.06,4,0.62,2
0.06,24,0.72,2
0.06,48,4.72,2
0.06,72,12.1,2
0.06,96,37.3,2
0.25,0,0.46,1
0.25,4,0.89,1
0.25,24,5.38,1
0.25,48,12.6,1
0.25,72,25.8,1
0.25,96,39.3,1
0.25,0,1.02,2
0.25,4,2.42,2
0.25,24,7.91,2
0.25,48,20.2,2
0.25,72,27,2
0.25,96,32.1,2
1,0,0.7,1
1,4,0.35,1
1,24,7.55,1
1,48,15.3,1
1,72,22.5,1
1,96,29.1,1
1,0,0.98,2
1,4,2.39,2
1,24,7.14,2
1,48,15.5,2
1,72,20.5,2
1,96,26.9,2