Concentration,Viral RNA,Replicate,Cell.line
0,100,1,Vero E6
0.04,2,1,Vero E6
0.2,1,1,Vero E6
1,0,1,Vero E6
5,0,1,Vero E6
0,100,2,Vero E6
0.04,2,2,Vero E6
0.2,1,2,Vero E6
1,0,2,Vero E6
5,0,2,Vero E6
0,100,3,Vero E6
0.04,2,3,Vero E6
0.2,0,3,Vero E6
1,0,3,Vero E6
5,0,3,Vero E6
0,100,1,H522
0.04,5,1,H522
0.2,4,1,H522
1,4,1,H522
5,4,1,H522
0,100,2,H522
0.04,6,2,H522
0.2,2,2,H522
1,2,2,H522
5,2,2,H522
0,100,3,H522
0.04,5,3,H522
0.2,2,3,H522
1,2,3,H522
5,2,3,H522
0,100,4,H522
0.04,4,4,H522
0.2,3,4,H522
1,3,4,H522
5,3,4,H522
0,100,5,H522
0.04,6,5,H522
0.2,2,5,H522
1,2,5,H522
5,2,5,H522
0,100,6,H522
0.04,3,6,H522
0.2,2,6,H522
1,2,6,H522
5,2,6,H522
0,100,1,H522-ACE2
0.04,25,1,H522-ACE2
0.2,7,1,H522-ACE2
1,2,1,H522-ACE2
5,1,1,H522-ACE2
0,100,2,H522-ACE2
0.04,71,2,H522-ACE2
0.2,18,2,H522-ACE2
1,5,2,H522-ACE2
5,1,2,H522-ACE2
0,100,3,H522-ACE2
0.04,22,3,H522-ACE2
0.2,9,3,H522-ACE2
1,2,3,H522-ACE2
5,1,3,H522-ACE2