MOI,Time,Cell.line,Replicate,Cells
20,63,E484D,1,139577.6
20,64,E484D,1,105625.4
20,65,E484D,1,131315.4
20,66,E484D,1,114739.3
20,67,E484D,1,132717.8
20,68,E484D,1,126928.9
20,69,E484D,1,121222.1
20,70,E484D,1,347696.3
20,71,E484D,1,109435.1
20,72,E484D,1,148265.3
20,73,E484D,1,152699.2
20,74,E484D,1,148048.1
20,75,E484D,1,147107.5
20,76,E484D,1,138258.5
20,77,E484D,1,290910.6
20,78,E484D,1,207688.7
20,79,E484D,1,197869.1
20,80,E484D,1,135201.6
20,81,E484D,1,184750.8
20,82,E484D,1,169066.6
20,83,E484D,1,166027.6
20,84,E484D,1,153478.1
20,85,E484D,1,134984.5
20,86,E484D,1,124057.1
20,87,E484D,1,121062.3
20,88,E484D,1,118083.7
20,89,E484D,1,107659.6
20,90,E484D,1,104342
20,91,E484D,1,101670
20,92,E484D,1,100986.3
20,93,E484D,1,100677
20,94,E484D,1,101425.1
20,95,E484D,1,112185.3
20,96,E484D,1,101854.5
20,97,E484D,1,100016.3
20,0,E484D,2,9188.565
20,1,E484D,2,6916.139
20,2,E484D,2,6660.559
20,3,E484D,2,8300.931
20,4,E484D,2,21043.62
20,5,E484D,2,65604.67
20,6,E484D,2,104956.7
20,7,E484D,2,226318.8
20,8,E484D,2,390023.9
20,9,E484D,2,510300.1
20,10,E484D,2,697805.8
20,11,E484D,2,836138.6
20,12,E484D,2,1018571
20,13,E484D,2,909495.9
20,14,E484D,2,911427.4
20,15,E484D,2,884656.4
20,16,E484D,2,893532.4
20,17,E484D,2,876837
20,18,E484D,2,1057611
20,19,E484D,2,1000576
20,20,E484D,2,934398.4
20,21,E484D,2,1026470
20,22,E484D,2,708594
20,23,E484D,2,864685.2
20,24,E484D,2,846758.8
20,25,E484D,2,567606.9
20,26,E484D,2,547109.3
20,27,E484D,2,1139421
20,28,E484D,2,1058771
20,29,E484D,2,812949.6
20,30,E484D,2,784330.1
20,31,E484D,2,455236.2
20,32,E484D,2,775389.2
20,33,E484D,2,922685.3
20,34,E484D,2,943304.1
20,35,E484D,2,399688.9
20,36,E484D,2,573930.1
20,37,E484D,2,538416.6
20,38,E484D,2,223590.9
20,39,E484D,2,308869
20,40,E484D,2,196593.9
20,41,E484D,2,193981.3
20,42,E484D,2,161810.4
20,43,E484D,2,172701.7
20,44,E484D,2,316497.7
20,45,E484D,2,251869.3
20,46,E484D,2,259490.5
20,47,E484D,2,299208.9
20,48,E484D,2,248293.5
20,49,E484D,2,278531.2
20,50,E484D,2,281108.5
20,51,E484D,2,322464.3
20,52,E484D,2,311402
20,53,E484D,2,279833.2
20,54,E484D,2,277379.3
20,55,E484D,2,204848.8
20,56,E484D,2,203585.5
20,57,E484D,2,320300
20,58,E484D,2,326888.5
20,59,E484D,2,144168.4
20,60,E484D,2,198852.1
20,61,E484D,2,144427.9
20,62,E484D,2,154690.9
20,63,E484D,2,154620.9
20,64,E484D,2,165181
20,65,E484D,2,290901
20,66,E484D,2,196404.7
20,67,E484D,2,193549
20,68,E484D,2,201828
20,69,E484D,2,216543.6
20,70,E484D,2,225482.9
20,71,E484D,2,244220
20,72,E484D,2,265653.9
20,73,E484D,2,265394.3
20,74,E484D,2,277822.5
20,75,E484D,2,294636
20,76,E484D,2,300449.4
20,77,E484D,2,323109.2
20,78,E484D,2,301958.2
20,79,E484D,2,178087.6
20,80,E484D,2,89999.34
20,81,E484D,2,85921.7
20,82,E484D,2,93042.43
20,83,E484D,2,92220.63
20,84,E484D,2,94122.04
20,85,E484D,2,94829.09
20,86,E484D,2,95079.6
20,87,E484D,2,93087.13
20,88,E484D,2,94541.23
20,89,E484D,2,98863.83
20,90,E484D,2,81499.2
20,91,E484D,2,84939.76
20,92,E484D,2,478315.6
20,93,E484D,2,138996.1
20,94,E484D,2,143512.4
20,95,E484D,2,167282.7
20,96,E484D,2,94795.98
20,97,E484D,2,94621.16
20,0,E484D,3,24997.46
20,1,E484D,3,27295.4
20,2,E484D,3,25151.03
20,3,E484D,3,25239.8
20,4,E484D,3,23779.63
20,5,E484D,3,48076.15
20,6,E484D,3,96770.86
20,7,E484D,3,157550.9
20,8,E484D,3,81420.89
20,9,E484D,3,44610.74
20,10,E484D,3,41530.84
20,11,E484D,3,61672
20,12,E484D,3,53602.16
20,13,E484D,3,54340.96
20,14,E484D,3,323032.4
20,15,E484D,3,350251
20,16,E484D,3,377523.9
20,17,E484D,3,381374.2
20,18,E484D,3,401191
20,19,E484D,3,298986.2
20,20,E484D,3,271475.5
20,21,E484D,3,287498.3
20,22,E484D,3,295758.9
20,23,E484D,3,507953.1
20,24,E484D,3,708342.3
20,25,E484D,3,517451.1
20,26,E484D,3,226711.9
20,27,E484D,3,179942
20,28,E484D,3,170557.7
20,29,E484D,3,163387.9
20,30,E484D,3,168472.1
20,31,E484D,3,209762.8
20,32,E484D,3,384770
20,33,E484D,3,361185
20,34,E484D,3,337626
20,35,E484D,3,321611
20,36,E484D,3,309765.6
20,37,E484D,3,308069.8
20,38,E484D,3,293799.6
20,39,E484D,3,129654.7
20,40,E484D,3,120018.8
20,41,E484D,3,112938.6
20,42,E484D,3,104527.7
20,43,E484D,3,95808.82
20,44,E484D,3,86367.67
20,45,E484D,3,75858.01
20,46,E484D,3,73378.45
20,47,E484D,3,74904.34
20,48,E484D,3,77375.98
20,49,E484D,3,79289.11
20,50,E484D,3,76664.77
20,51,E484D,3,78184.06
20,52,E484D,3,66240.08
20,53,E484D,3,75031.59
20,54,E484D,3,78845.23
20,55,E484D,3,74843.89
20,56,E484D,3,72040.79
20,57,E484D,3,75223.9
20,58,E484D,3,87525.03
20,59,E484D,3,67905.46
20,60,E484D,3,61193.86
20,61,E484D,3,72593.45
20,62,E484D,3,66936.55
20,63,E484D,3,61563.96
20,64,E484D,3,60165.06
20,65,E484D,3,59486.02
20,66,E484D,3,53734.48
20,67,E484D,3,43894.48
20,68,E484D,3,44064.59
20,69,E484D,3,46289.69
20,70,E484D,3,45676.55
20,71,E484D,3,44819.29
20,72,E484D,3,55741.13
20,73,E484D,3,47483.76
20,74,E484D,3,57174.11
20,75,E484D,3,59676.7
20,76,E484D,3,49372.5
20,77,E484D,3,49000.55
20,78,E484D,3,48759.49
20,79,E484D,3,51620.77
20,80,E484D,3,51788.64
20,81,E484D,3,52725.65
20,82,E484D,3,56095.8
20,83,E484D,3,57551.15
20,84,E484D,3,59281.89
20,85,E484D,3,61766.02
20,86,E484D,3,62922.23
20,87,E484D,3,65194.36
20,88,E484D,3,64633.82
20,89,E484D,3,66725.27
20,90,E484D,3,68373.03
20,91,E484D,3,70882.62
20,92,E484D,3,71856.16
20,93,E484D,3,74776.57
20,94,E484D,3,85331.83
20,95,E484D,3,88303.41
20,96,E484D,3,78295.52
20,97,E484D,3,79486.29
20,0,E484K/R685S,1,44948.63
20,1,E484K/R685S,1,42590.85
20,2,E484K/R685S,1,38853.47
20,3,E484K/R685S,1,37131.17
20,4,E484K/R685S,1,29700.32
20,5,E484K/R685S,1,29261.13
20,6,E484K/R685S,1,28281.05
20,7,E484K/R685S,1,28107.35
20,8,E484K/R685S,1,30424.8
20,9,E484K/R685S,1,32458.95
20,10,E484K/R685S,1,31520.38
20,11,E484K/R685S,1,40741.56
20,12,E484K/R685S,1,61598.44
20,13,E484K/R685S,1,76354.98
20,14,E484K/R685S,1,69674
20,15,E484K/R685S,1,70527.27
20,16,E484K/R685S,1,70745.15
20,17,E484K/R685S,1,65628.11
20,18,E484K/R685S,1,70747.56
20,19,E484K/R685S,1,60448.91
20,20,E484K/R685S,1,58986.7
20,21,E484K/R685S,1,55606.92
20,22,E484K/R685S,1,57449.28
20,23,E484K/R685S,1,53036.67
20,24,E484K/R685S,1,53183.37
20,25,E484K/R685S,1,50595.55
20,26,E484K/R685S,1,51927.34
20,27,E484K/R685S,1,49686.11
20,28,E484K/R685S,1,50474.88
20,29,E484K/R685S,1,47744.55
20,30,E484K/R685S,1,45396.06
20,31,E484K/R685S,1,45207.59
20,32,E484K/R685S,1,25002.69
20,33,E484K/R685S,1,23089.78
20,34,E484K/R685S,1,24726.52
20,35,E484K/R685S,1,24622.59
20,36,E484K/R685S,1,25097.75
20,37,E484K/R685S,1,24695.68
20,38,E484K/R685S,1,24964.47
20,39,E484K/R685S,1,23671.41
20,40,E484K/R685S,1,23563.53
20,41,E484K/R685S,1,23014
20,42,E484K/R685S,1,24392.78
20,43,E484K/R685S,1,24450.07
20,44,E484K/R685S,1,24505.48
20,45,E484K/R685S,1,24496.06
20,46,E484K/R685S,1,24731.54
20,47,E484K/R685S,1,25553.81
20,48,E484K/R685S,1,27554.72
20,49,E484K/R685S,1,27438.65
20,50,E484K/R685S,1,26413.55
20,51,E484K/R685S,1,27499.96
20,52,E484K/R685S,1,31830.75
20,53,E484K/R685S,1,36511.71
20,54,E484K/R685S,1,34628.07
20,55,E484K/R685S,1,31484.2
20,56,E484K/R685S,1,36749.58
20,57,E484K/R685S,1,35193.53
20,58,E484K/R685S,1,32063.04
20,59,E484K/R685S,1,35873.84
20,60,E484K/R685S,1,39288.04
20,61,E484K/R685S,1,38040.34
20,62,E484K/R685S,1,38217.65
20,63,E484K/R685S,1,33569.31
20,64,E484K/R685S,1,40033.36
20,65,E484K/R685S,1,44036.5
20,66,E484K/R685S,1,41382.6
20,67,E484K/R685S,1,42110.07
20,68,E484K/R685S,1,44382.6
20,69,E484K/R685S,1,40606.15
20,70,E484K/R685S,1,47698.97
20,71,E484K/R685S,1,42628.1
20,72,E484K/R685S,1,45355.07
20,73,E484K/R685S,1,42902.02
20,74,E484K/R685S,1,45668.78
20,75,E484K/R685S,1,34567.02
20,76,E484K/R685S,1,43713.83
20,77,E484K/R685S,1,38687.52
20,78,E484K/R685S,1,43191.42
20,79,E484K/R685S,1,43685.55
20,80,E484K/R685S,1,35427.82
20,81,E484K/R685S,1,47854.39
20,82,E484K/R685S,1,47959.8
20,83,E484K/R685S,1,51984.86
20,84,E484K/R685S,1,48860.45
20,85,E484K/R685S,1,56067.21
20,86,E484K/R685S,1,56723.89
20,87,E484K/R685S,1,58921.57
20,88,E484K/R685S,1,50360.99
20,89,E484K/R685S,1,54605.32
20,90,E484K/R685S,1,67267.66
20,91,E484K/R685S,1,71815.7
20,92,E484K/R685S,1,65558.56
20,93,E484K/R685S,1,70141.66
20,94,E484K/R685S,1,70307.59
20,95,E484K/R685S,1,83351.99
20,96,E484K/R685S,1,74207.05
20,97,E484K/R685S,1,73041.45
20,0,E484K/R685S,2,19458.85
20,1,E484K/R685S,2,14477.3
20,2,E484K/R685S,2,13777.52
20,3,E484K/R685S,2,13446.87
20,4,E484K/R685S,2,12294.14
20,5,E484K/R685S,2,12343.21
20,6,E484K/R685S,2,9579.855
20,7,E484K/R685S,2,18570.21
20,8,E484K/R685S,2,29228.28
20,9,E484K/R685S,2,41935.93
20,10,E484K/R685S,2,57798.25
20,11,E484K/R685S,2,50448.21
20,12,E484K/R685S,2,49470.01
20,13,E484K/R685S,2,49691.63
20,14,E484K/R685S,2,50317.68
20,15,E484K/R685S,2,47227.56
20,16,E484K/R685S,2,46945.73
20,17,E484K/R685S,2,47990.3
20,18,E484K/R685S,2,48377.43
20,19,E484K/R685S,2,45560.36
20,20,E484K/R685S,2,45877.35
20,21,E484K/R685S,2,43561.31
20,22,E484K/R685S,2,42530.43
20,23,E484K/R685S,2,43532.35
20,24,E484K/R685S,2,43811.23
20,25,E484K/R685S,2,46732.57
20,26,E484K/R685S,2,45601.54
20,27,E484K/R685S,2,43394.66
20,28,E484K/R685S,2,40201.54
20,29,E484K/R685S,2,40577.39
20,30,E484K/R685S,2,45774
20,31,E484K/R685S,2,42473.7
20,32,E484K/R685S,2,42883.09
20,33,E484K/R685S,2,46267.64
20,34,E484K/R685S,2,45617.2
20,35,E484K/R685S,2,44433.02
20,36,E484K/R685S,2,13765.3
20,37,E484K/R685S,2,12631.28
20,38,E484K/R685S,2,14106.53
20,39,E484K/R685S,2,13670.66
20,40,E484K/R685S,2,14198.67
20,41,E484K/R685S,2,14636.11
20,42,E484K/R685S,2,13945.09
20,43,E484K/R685S,2,15365.5
20,44,E484K/R685S,2,15503.27
20,45,E484K/R685S,2,16345.14
20,46,E484K/R685S,2,17378.96
20,47,E484K/R685S,2,18420.31
20,48,E484K/R685S,2,19402.7
20,49,E484K/R685S,2,18488.34
20,50,E484K/R685S,2,19513.41
20,51,E484K/R685S,2,20265.59
20,52,E484K/R685S,2,20785.04
20,53,E484K/R685S,2,20539.21
20,54,E484K/R685S,2,22386.97
20,55,E484K/R685S,2,21891.32
20,56,E484K/R685S,2,22567.84
20,57,E484K/R685S,2,22386.47
20,58,E484K/R685S,2,24815.64
20,59,E484K/R685S,2,24523.21
20,60,E484K/R685S,2,24868.54
20,61,E484K/R685S,2,24609.62
20,62,E484K/R685S,2,26751.43
20,63,E484K/R685S,2,27894.99
20,64,E484K/R685S,2,29907.51
20,65,E484K/R685S,2,29438.95
20,66,E484K/R685S,2,29916.32
20,67,E484K/R685S,2,30322.2
20,68,E484K/R685S,2,30699.25
20,69,E484K/R685S,2,32268.7
20,70,E484K/R685S,2,32916.98
20,71,E484K/R685S,2,34589.03
20,72,E484K/R685S,2,35991.25
20,73,E484K/R685S,2,35069.14
20,74,E484K/R685S,2,36264.46
20,75,E484K/R685S,2,36667.84
20,76,E484K/R685S,2,37462.39
20,77,E484K/R685S,2,37468.95
20,78,E484K/R685S,2,39290.73
20,79,E484K/R685S,2,40979.69
20,80,E484K/R685S,2,41613.85
20,81,E484K/R685S,2,44587.41
20,82,E484K/R685S,2,45254.62
20,83,E484K/R685S,2,46802.02
20,84,E484K/R685S,2,48647.54
20,85,E484K/R685S,2,48872.8
20,86,E484K/R685S,2,51328.79
20,87,E484K/R685S,2,53357.77
20,88,E484K/R685S,2,55458.25
20,89,E484K/R685S,2,56708.22
20,90,E484K/R685S,2,59431.72
20,91,E484K/R685S,2,60263.86
20,92,E484K/R685S,2,62066.72
20,93,E484K/R685S,2,64618.98
20,94,E484K/R685S,2,65382.54
20,95,E484K/R685S,2,74255.42
20,96,E484K/R685S,2,69018.98
20,97,E484K/R685S,2,67245.56
20,0,E484K/R685S,3,11813.18
20,1,E484K/R685S,3,8839.69
20,2,E484K/R685S,3,7647.26
20,3,E484K/R685S,3,7384.385
20,4,E484K/R685S,3,7066.333
20,5,E484K/R685S,3,7280.442
20,6,E484K/R685S,3,6731.116
20,7,E484K/R685S,3,5966.202
20,8,E484K/R685S,3,5852.537
20,9,E484K/R685S,3,6853.847
20,10,E484K/R685S,3,5391.615
20,11,E484K/R685S,3,5733.684
20,12,E484K/R685S,3,5007.624
20,13,E484K/R685S,3,5543.14
20,14,E484K/R685S,3,5430.287
20,15,E484K/R685S,3,5404.331
20,16,E484K/R685S,3,8761.27
20,17,E484K/R685S,3,14722.48
20,18,E484K/R685S,3,23019.91
20,19,E484K/R685S,3,4879.249
20,20,E484K/R685S,3,12793.24
20,21,E484K/R685S,3,10283.32
20,22,E484K/R685S,3,10296.87
20,23,E484K/R685S,3,10782.22
20,24,E484K/R685S,3,12950
20,25,E484K/R685S,3,5935.375
20,26,E484K/R685S,3,5151.395
20,27,E484K/R685S,3,5492.497
20,28,E484K/R685S,3,5257.775
20,29,E484K/R685S,3,4970.424
20,30,E484K/R685S,3,5271.417
20,31,E484K/R685S,3,4931.545
20,32,E484K/R685S,3,5304.382
20,33,E484K/R685S,3,5440.505
20,34,E484K/R685S,3,5612.121
20,35,E484K/R685S,3,5972.745
20,36,E484K/R685S,3,6382.09
20,37,E484K/R685S,3,6929.432
20,38,E484K/R685S,3,7083.384
20,39,E484K/R685S,3,7815.114
20,40,E484K/R685S,3,7710.758
20,41,E484K/R685S,3,8192.746
20,42,E484K/R685S,3,7627.423
20,43,E484K/R685S,3,8613.754
20,44,E484K/R685S,3,8877.267
20,45,E484K/R685S,3,8707.717
20,46,E484K/R685S,3,11024.14
20,47,E484K/R685S,3,11137.72
20,48,E484K/R685S,3,12002.68
20,49,E484K/R685S,3,11194.37
20,50,E484K/R685S,3,10718.37
20,51,E484K/R685S,3,11851.29
20,52,E484K/R685S,3,12152.53
20,53,E484K/R685S,3,13032.25
20,54,E484K/R685S,3,13877.91
20,55,E484K/R685S,3,13643.87
20,56,E484K/R685S,3,14020.31
20,57,E484K/R685S,3,13919.64
20,58,E484K/R685S,3,15032.26
20,59,E484K/R685S,3,16788.57
20,60,E484K/R685S,3,16945.84
20,61,E484K/R685S,3,17845.72
20,62,E484K/R685S,3,19326.84
20,63,E484K/R685S,3,20352.37
20,64,E484K/R685S,3,21446.1
20,65,E484K/R685S,3,21018.31
20,66,E484K/R685S,3,22560.78
20,67,E484K/R685S,3,23553.8
20,68,E484K/R685S,3,23525.41
20,69,E484K/R685S,3,24464.4
20,70,E484K/R685S,3,25298.97
20,71,E484K/R685S,3,25166.27
20,72,E484K/R685S,3,25881.26
20,73,E484K/R685S,3,27221.2
20,74,E484K/R685S,3,27295.08
20,75,E484K/R685S,3,29248.08
20,76,E484K/R685S,3,28543.1
20,77,E484K/R685S,3,29157.38
20,78,E484K/R685S,3,30279.56
20,79,E484K/R685S,3,30209.44
20,80,E484K/R685S,3,31517.79
20,81,E484K/R685S,3,32935.88
20,82,E484K/R685S,3,35101.93
20,83,E484K/R685S,3,35872.32
20,84,E484K/R685S,3,36679.96
20,85,E484K/R685S,3,38684.35
20,86,E484K/R685S,3,40554.55
20,87,E484K/R685S,3,41923.46
20,88,E484K/R685S,3,45152.4
20,89,E484K/R685S,3,46282.04
20,90,E484K/R685S,3,47624.6
20,91,E484K/R685S,3,50013.75
20,92,E484K/R685S,3,52945.07
20,93,E484K/R685S,3,52546.02
20,94,E484K/R685S,3,53809.13
20,95,E484K/R685S,3,55746.25
20,96,E484K/R685S,3,57963.5
20,97,E484K/R685S,3,58183.28