Cell.line,Time,Copies,Outlier,KO
H522,4,3979,,WT
H522,4,11465,,WT
H522,4,16877,,WT
H522,4,16848,,WT
H522,4,5796,,WT
H522,4,6848,,WT
H522,4,5911,,WT
H522,72,3351451,,WT
H522,72,2402,1,WT
H522,72,1285418,,WT
H522,72,285938,,WT
H522,72,2681,1,WT
H522,72,697650,,WT
H522,72,724017,,WT
H522,72,1057297,,WT
H522,4,2182,,ACE2
H522,4,333,,ACE2
H522,4,125,,ACE2
H522,4,4295,,ACE2
H522,4,3458,,ACE2
H522,4,3196,,ACE2
H522,4,3672,,ACE2
H522,72,1129290,,ACE2
H522,72,904102,,ACE2
H522,72,775552,,ACE2
H522,72,27077,,ACE2
H522,72,706,1,ACE2
H522,72,858493,,ACE2
H522,72,854421,,ACE2
H522,72,923811,,ACE2
Calu-3,4,1698,,WT
Calu-3,4,399,,WT
Calu-3,4,91,1,WT
Calu-3,4,157,,WT
Calu-3,4,5308,,WT
Calu-3,4,6484,,WT
Calu-3,4,7613,,WT
Calu-3,72,43549,,WT
Calu-3,72,29145,,WT
Calu-3,72,69698,,WT
Calu-3,72,112280,,WT
Calu-3,72,73943,,WT
Calu-3,72,62091,,WT
Calu-3,72,72956,,WT
Calu-3,72,159302,,WT
Calu-3,4,973,,ACE2
Calu-3,4,2497,,ACE2
Calu-3,4,2893,,ACE2
Calu-3,4,38,1,ACE2
Calu-3,4,910,,ACE2
Calu-3,4,806,,ACE2
Calu-3,4,714,,ACE2
Calu-3,72,335,,ACE2
Calu-3,72,282,,ACE2
Calu-3,72,580,,ACE2
Calu-3,72,310,,ACE2
Calu-3,72,471,,ACE2
Calu-3,72,640,,ACE2
Calu-3,72,1022,,ACE2
Calu-3,72,665,,ACE2