Cell.line,Time,Copies,Clone,KO
H522,4,799,1,WT
H522,4,1386,1,WT
H522,4,1587,1,WT
H522,4,1775,1,WT
H522,4,591,2,WT
H522,4,1340,2,WT
H522,4,2766,2,WT
H522,4,1855,2,WT
H522,4,1021,3,ACE2
H522,4,1556,3,ACE2
H522,4,1399,3,ACE2
H522,4,1613,3,ACE2
H522,4,589,4,WT
H522,4,1358,4,WT
H522,4,2565,4,WT
H522,4,2074,4,WT
H522,4,1245,5,WT
H522,4,1930,5,WT
H522,4,1188,5,WT
H522,4,736,7,WT
H522,4,837,8,Mixed
H522,4,1345,8,Mixed
H522,4,1392,8,Mixed
H522,4,2172,8,Mixed
H522,4,354,9,ACE2
H522,4,1831,9,ACE2
H522,4,1493,10,WT
H522,72,946778,1,WT
H522,72,349700,1,WT
H522,72,295206,1,WT
H522,72,280788,1,WT
H522,72,182278,1,WT
H522,72,240867,1,WT
H522,72,2186850,1,WT
H522,72,34395,1,WT
H522,72,3484720,2,WT
H522,72,4674145,2,WT
H522,72,4458409,2,WT
H522,72,1.09E+07,2,WT
H522,72,3869767,2,WT
H522,72,1.40E+07,2,WT
H522,72,6175620,2,WT
H522,72,193104,2,WT
H522,72,2141184,3,ACE2
H522,72,1852273,3,ACE2
H522,72,2117085,3,ACE2
H522,72,1.36E+06,3,ACE2
H522,72,1657550,3,ACE2
H522,72,1.22E+06,3,ACE2
H522,72,5324061,3,ACE2
H522,72,2216419,3,ACE2
H522,72,214443,3,ACE2
H522,72,4619181,4,WT
H522,72,4099460,4,WT
H522,72,3718510,4,WT
H522,72,1.22E+07,4,WT
H522,72,1.03E+07,4,WT
H522,72,9.52E+06,4,WT
H522,72,1.05E+07,4,WT
H522,72,379634,4,WT
H522,72,255898,5,WT
H522,72,197653,5,WT
H522,72,129752,5,WT
H522,72,2.32E+05,5,WT
H522,72,163328,5,WT
H522,72,1.18E+05,5,WT
H522,72,401829,7,WT
H522,72,169809,7,WT
H522,72,1327645,7,WT
H522,72,2.03E+07,8,Mixed
H522,72,1.70E+07,8,Mixed
H522,72,1.25E+07,8,Mixed
H522,72,5.31E+06,8,Mixed
H522,72,7786493,8,Mixed
H522,72,1.24E+07,8,Mixed
H522,72,8.43E+05,8,Mixed
H522,72,6288684,9,ACE2
H522,72,6531947,9,ACE2
H522,72,75230,9,ACE2
H522,72,4.35E+04,9,ACE2
H522,72,30792,9,ACE2
H522,72,994281,10,WT