Condition,Cell.line,Copies
Mock,H522,248342
Mock,H522,69109
Mock,H522,58137
Anti-ACE2,H522,112116
Anti-GFP,H522,783738
Mock,H522,22568
Mock,H522,15752
Mock,H522,17710
Anti-ACE2,H522,38537
Anti-GFP,H522,204813
Mock,H522,12254
Mock,H522,11160
Mock,H522,10749
Anti-ACE2,H522,21550
Anti-GFP,H522,104997
Mock,H522 ACE2 KO,206558
Mock,H522 ACE2 KO,128429
Mock,H522 ACE2 KO,417329
Anti-ACE2,H522 ACE2 KO,247467
Anti-GFP,H522 ACE2 KO,660644
Mock,H522 ACE2 KO,55082
Mock,H522 ACE2 KO,97909
Mock,H522 ACE2 KO,370432
Mock,H522 ACE2 KO,106322
Anti-ACE2,H522 ACE2 KO,19875
Anti-GFP,H522 ACE2 KO,30289
Mock,H522 ACE2 KO,23598
Mock,H522 ACE2 KO,24047
Mock,H522 ACE2 KO,54277
Anti-ACE2,H522 ACE2 KO,37261
Anti-GFP,H522 ACE2 KO,279438
Mock,Calu-3,126525
Mock,Calu-3,70773
Mock,Calu-3,47928
Anti-ACE2,Calu-3,441
Anti-GFP,Calu-3,43319
Mock,Calu-3,9134
Mock,Calu-3,3498
Mock,Calu-3,4471
Anti-ACE2,Calu-3,439
Anti-GFP,Calu-3,4105
Mock,Calu-3,2562
Mock,Calu-3,9977
Mock,Calu-3,20818
Anti-ACE2,Calu-3,436
Anti-GFP,Calu-3,4735
Mock,Calu-3 ACE2 KO,365
Mock,Calu-3 ACE2 KO,514
Mock,Calu-3 ACE2 KO,313
Anti-ACE2,Calu-3 ACE2 KO,393
Anti-GFP,Calu-3 ACE2 KO,388
Mock,Calu-3 ACE2 KO,324
Mock,Calu-3 ACE2 KO,330
Mock,Calu-3 ACE2 KO,276
Anti-ACE2,Calu-3 ACE2 KO,387
Anti-GFP,Calu-3 ACE2 KO,483
Mock,Calu-3 ACE2 KO,228
Mock,Calu-3 ACE2 KO,323
Mock,Calu-3 ACE2 KO,263
Anti-ACE2,Calu-3 ACE2 KO,421
Anti-GFP,Calu-3 ACE2 KO,374