Condition,Concentration,Infection
Camostat mesylate,100,255
Camostat mesylate,100,253
Camostat mesylate,100,196
Camostat mesylate,50,204
Camostat mesylate,50,143
Camostat mesylate,50,184
Camostat mesylate,10,102
Camostat mesylate,10,100
Camostat mesylate,10,110
Camostat mesylate,2,134
Camostat mesylate,2,71
Camostat mesylate,2,54
Camostat mesylate,0,100
Camostat mesylate,0,100
Camostat mesylate,0,100
E64D,10,36
E64D,10,53
E64D,10,24
E64D,10,109
E64D,10,68
E64D,5,52
E64D,5,33
E64D,5,58
E64D,5,54
E64D,5,112
E64D,1,93
E64D,1,108
E64D,1,72
E64D,1,227
E64D,0.2,85
E64D,0.2,98
E64D,0.2,55
E64D,0.2,177
E64D,0,100
E64D,0,100
E64D,0,100
E64D,0,130
E64D,0,67
Bafilomycin A,20,13
Bafilomycin A,20,3
Bafilomycin A,20,16
Bafilomycin A,20,26
Bafilomycin A,10,48
Bafilomycin A,10,31
Bafilomycin A,10,37
Bafilomycin A,10,23
Bafilomycin A,2,72
Bafilomycin A,2,93
Bafilomycin A,2,121
Bafilomycin A,2,252
Bafilomycin A,0.4,114
Bafilomycin A,0.4,138
Bafilomycin A,0.4,199
Bafilomycin A,0,100
Bafilomycin A,0,100
Bafilomycin A,0,133
Bafilomycin A,0,129
AAK1 inhibitor,10,20
AAK1 inhibitor,10,26
AAK1 inhibitor,10,3
AAK1 inhibitor,5,32
AAK1 inhibitor,5,31
AAK1 inhibitor,5,31
AAK1 inhibitor,1,129
AAK1 inhibitor,1,96
AAK1 inhibitor,1,93
AAK1 inhibitor,0.2,114
AAK1 inhibitor,0.2,128
AAK1 inhibitor,0.2,114
AAK1 inhibitor,0,100
AAK1 inhibitor,0,100
AAK1 inhibitor,0,100
Apilimod,1,15
Apilimod,1,14
Apilimod,1,16
Apilimod,1,16
Apilimod,1,10
Apilimod,1,22
Apilimod,0.5,20
Apilimod,0.5,20
Apilimod,0.5,27
Apilimod,0.5,27
Apilimod,0.5,16
Apilimod,0.5,12
Apilimod,0.1,69
Apilimod,0.1,68
Apilimod,0.1,158
Apilimod,0.1,158
Apilimod,0.1,171
Apilimod,0.1,109
Apilimod,0.02,77
Apilimod,0.02,80
Apilimod,0.02,102
Apilimod,0.02,99
Apilimod,0.02,42
Apilimod,0.02,26
Apilimod,0,100
Apilimod,0,100
Apilimod,0,100
Apilimod,0,100
Apilimod,0,75
Apilimod,0,78
Dynasore,20,77
Dynasore,20,77
Dynasore,20,44
Dynasore,20,46
Dynasore,20,66
Dynasore,20,99
Dynasore,10,141
Dynasore,10,145
Dynasore,10,62
Dynasore,10,58
Dynasore,10,69
Dynasore,10,72
Dynasore,2,116
Dynasore,2,99
Dynasore,2,89
Dynasore,2,82
Dynasore,2,133
Dynasore,2,187
Dynasore,0.4,120
Dynasore,0.4,124
Dynasore,0.4,50
Dynasore,0.4,44
Dynasore,0.4,89
Dynasore,0.4,95
Dynasore,0,100
Dynasore,0,100
Dynasore,0,100
Dynasore,0,100
Dynasore,0,61
Dynasore,0,126