MOI,Time,Viral Load,Replicate
0.015,0,0,1
0.015,4,4150000,1
0.015,24,62100000,1
0.015,48,8680000,1
0.015,72,1300000000,1
0.015,96,3270000000,1
0.015,0,0,2
0.015,4,5580000,2
0.015,24,41800000,2
0.015,48,273000000,2
0.015,72,4140000000,2
0.015,96,12600000000,2
0.06,0,0,1
0.06,4,46700000,1
0.06,24,226000000,1
0.06,48,9960000,1
0.06,72,3090000000,1
0.06,96,16900000000,1
0.06,0,0,2
0.06,4,19400000,2
0.06,24,297000000,2
0.06,48,1950000000,2
0.06,72,13300000000,2
0.06,96,53100000000,2
0.25,0,0,1
0.25,4,122000000,1
0.25,24,57500000,1
0.25,48,4650000000,1
0.25,72,4440000000,1
0.25,96,39700000000,1
0.25,0,0,2
0.25,4,123000000,2
0.25,24,1730000000,2
0.25,48,6260000000,2
0.25,72,33700000000,2
0.25,96,62300000000,2
1,0,0,1
1,4,703000000,1
1,24,3700000000,1
1,48,9950000000,1
1,72,39200000000,1
1,96,18200000000,1
1,0,0,2
1,4,366000000,2
1,24,4170000000,2
1,48,19200000000,2
1,72,49400000000,2
1,96,52500000000,2